拠点名,DB名,郵便番号,住所,電話番号
山田町中央コミュニティセンター和室、地域子育て支援センター（とよまねこども園内）,ネット検索,,,
山田町地域子育て支援センター,ネット検索,,,
TEL/FAX,ネット検索,,,
事業,ネット検索,,,
定員,ネット検索,,,
所在地,ネット検索,,,
施設設立,ネット検索,,,
職員数,ネット検索,,,
いわいずみ子育て支援センター（いわいずみこども園内）,ネット検索,,,
おもと子育て支援センター（おもとこども園内）,ネット検索,,,
こがわ子育て支援センター（こがわこども園内）,ネット検索,,,
平泉町子育て支援センター,ネット検索,,,
平泉町子育て支援センター,ネット検索,,,
なでしこ保育園子育て支援センター,ネット検索,0200634,滝沢市室小路251-2,019-684-1260
なでしこ保育園子育て支援センターのホームぺージはこちらから,ネット検索,0200611,滝沢市巣子1162番地37,019-699-3080
南巣子保育園子育て支援センター,ネット検索,0200611,滝沢市巣子1162番地37,019-699-3066
大釜保育園子育て支援センター,ネット検索,0200761,滝沢市大釜田の尻42番地1,019-687-3030
滝沢市の子育て支援センター,ネット検索,,,
滝沢市の子育て支援センター | 滝沢市,ネット検索,,,
牧の林すずの音保育園地域子育て支援センター,ネット検索,0200632,滝沢市牧野林891番地8,019-687-3031
田野畑村子育て支援センター,ネット検索,,,
とりょう保育園地域子育て支援センター,ネット検索,,,
なかのこども園地域子育て支援センター,ネット検索,,,
みたけ保育園地域子育て支援センター,ネット検索,,,
前潟保育園地域子育て支援センター,ネット検索,,,
好摩保育所地域子育て支援センター,ネット検索,,,
愛育園地域子育て支援センター,ネット検索,,,
津志田こども園地域子育て支援センター,ネット検索,,,
盛岡市地域子育て支援センター,ネット検索,,,
飯岡こども園地域子育て支援センター,ネット検索,,,
矢巾町子育て支援センター,ネット検索,,,
子育て支援センター,ネット検索,,,
紫波町社会福祉協議会 » 子育て支援センター,ネット検索,0283304,紫波郡紫波町二日町字古舘356-1,
虹の保育園子育て支援センター,ネット検索,,,
虹の保育園子育て支援センターは、就園前のお子さんとその保護者の方を対象に様々な広場を開催しています。,ネット検索,,,
こどもセンター(地域子育て支援センター),ネット検索,0250000,住所：花巻市花城町1番47号,0198-21-4388
こどもセンター(地域子育て支援センター)（Googleマップ）,ネット検索,0250000,住所：花巻市花城町1番47号,0198-24-5055
つちざわこども園地域子育て支援センター,ネット検索,,,080-2835-5193
つちざわこども園地域子育て支援センター（Googleマップ）,ネット検索,,,
大迫保育園地域子育て支援センター,ネット検索,0250000,住所：花巻市若葉町2-1,0198-48-3292
大迫保育園地域子育て支援センター(こどもセンター分室),ネット検索,0250000,住所：大迫町大迫4-22-1,0198-48-3292
大迫保育園地域子育て支援センター(こどもセンター分室)（Googleマップ）,ネット検索,0250000,住所：花巻市若葉町2-1,0198-23-6400
宮野目保育園地域子育て支援センター,ネット検索,0250000,住所：大迫町大迫4-22-1,0198-26-5655
宮野目保育園地域子育て支援センター(こどもセンター分室),ネット検索,0250000,住所：花巻市西宮野目6-100,0198-26-5655
宮野目保育園地域子育て支援センター(こどもセンター分室)（Googleマップ）,ネット検索,0250000,住所：大迫町大迫4-22-1,0198-48-3292
市内地域子育て支援センター紹介,ネット検索,0250000,住所：花巻市花城町1番47号,0198-21-4388
石鳥谷町地域子育て支援センター,ネット検索,0250000,住所：岩手県花巻市石鳥谷町好地第6地割30-6,0198-45-1004
石鳥谷町地域子育て支援センター（Googleマップ）,ネット検索,,,080-2835-5193
花巻市には、地域子育て支援センターが6か所あります。ぜひ、ご利用ください。,ネット検索,0250000,住所：花巻市花城町1番47号,0198-21-4388
花巻市内地域子育て支援センター紹介,ネット検索,,,
花巻市内地域子育て支援センター紹介｜花巻市,ネット検索,,,
花巻市地域子育て支援センター,ネット検索,,,
若葉保育園地域子育て支援センター,ネット検索,0250000,住所：花巻市若葉町2-1,0198-23-6400
若葉保育園地域子育て支援センター（Googleマップ）,ネット検索,0250000,住所：岩手県花巻市石鳥谷町好地第6地割30-6,0198-45-1004
葛巻町子育て支援センター,ネット検索,,,
軽米町子育て支援センター,ネット検索,,,
遠野市子育て支援センター,ネット検索,,,
地域子育て支援センター（社会福祉法人野田村保育会のサイト）,ネット検索,,,0194-78-2107
子育て支援センターでは育児講座などの各種事業を開催しています。,ネット検索,,,0194-78-2107
子育て支援センターの詳細,ネット検索,,,
野田村地域子育て支援センター,ネット検索,,,
野田村地域子育て支援センター 電話番号 0194-78-2107,ネット検索,,,0194-78-2107
金ケ崎町子育て支援センター,ネット検索,,,
かっし子育て支援センター,ネット検索,0260055,甲子町10-8-4（認定こども園正福寺幼稚園内）,0193-27-5066
かまいしこども園子育て支援センター,ネット検索,0260023,天神町5-13（かまいしこども園内）,0193-27-8273
中妻子供の家子育て支援センター,ネット検索,0260034,中妻町1-13-22（中妻子供の家保育園内）,0193-23-5552
平田子育て支援センター,ネット検索,0260001,大字平田2-25-142（ニュータウン改良住宅1階）,0193-27-5223
鵜住居保育園子育て支援センター,ネット検索,0260301,鵜住居町3-10（鵜住居保育園内）,0193-28-3361
おやこの広場 きらりんきっず行事・カレンダーfacebook,ネット検索,0292205,陸前高田市高田町字並杉300番地1陸前高田アムウェイハウス「まちの縁側」,
地域子育て支援センター あゆっこ,ネット検索,0292204,陸前高田市気仙町字三本松100番地,
地域子育て支援センター たかた,ネット検索,0292205,陸前高田市高田町字中和野36番地2,
地域子育て支援センター にこにこ,ネット検索,0292208,陸前高田市広田町字大久保25番地（広田保育園内）,
雫石町地域子育て支援センター,ネット検索,,,019-692-0722
いずも子育て支援センター,ネット検索,6930021,出雲市塩冶町641-9,0853-21-5772
こりょう子育て支援センター,ネット検索,6990812,出雲市湖陵町二部1745-2ハマナス保育園,0853-43-2621
さだ子育て支援センター,ネット検索,6930503,出雲市佐田町須佐1146須佐保育所,0853-84-0166
たいしゃ子育て支援センター,ネット検索,6990711,出雲市大社町杵築南1397-2大社行政センター,0853-53-2666
たき子育て支援センター,ネット検索,6990903,出雲市多伎町小田50-5多伎こども園,0853-86-2711
ひかわ子育て支援センター,ネット検索,6990505,出雲市斐川町上庄原1760-1まめなが一番館,0853-73-7375
ひらた子育て支援センター,ネット検索,6910001,出雲市平田町2112-1,0853-63-3990
中央保育所れもん組,ネット検索,6930001,出雲市今市町828-2中央保育所,0853-21-0597
子育て支援センターはぐはぐ,ネット検索,6930073,出雲市西林木町151島根県立大学出雲キャンパス2号館1階,0853-22-6570
駅ナカ赤ちゃんルーム,ネット検索,6930007,出雲市駅北町10-3アトネスいずも,0853-21-1496
子育て交流サロン,ネット検索,6995513,鹿足郡吉賀町六日市263番地吉賀町養護老人ホーム銀杏寮付設作業所内,080-2889-7889
仁摩子育て支援センター,ネット検索,6992301,大田市仁摩町仁万559-1仁摩保育園内,0854-88-4933
大田子育て支援センター,ネット検索,6940063,大田市大田町吉永1313-1あゆみ保育園内,0854-82-1791
温泉津子育て支援センター,ネット検索,6992511,大田市温泉津町小浜イ306-1温泉津保育所内,0855-65-2075
よこた子育て支援センター,ネット検索,6991802,仁多郡奥出雲町大呂1127-4鳥上幼児園,0854-52-2296
仁多子育て支援センター,ネット検索,6991511,仁多郡奥出雲町三成690-1三成幼児園,0854-54-0200
つどいの広場,ネット検索,6920011,安来市安来町583安来市親子交流センター,0854-23-7050
地域子育て支援センター,ネット検索,6920011,安来市安来町924-3みゆきこども園,0854-22-3567
地域子育て支援センター,ネット検索,6920017,安来市下坂田町197-1ふたばこども園,0854-23-1577
地域子育て支援センター,ネット検索,6920007,安来市荒島町1263どじょっこ,0854-26-4782
安来市子育て支援センター,ネット検索,6920404,安来市広瀬町広瀬1930-1安来市健康福祉センター,0854-23-3222
川本町子育てサポートセンター,ネット検索,6960001,邑智郡川本町大字川本271-3川本町社会福祉協議会内,0855-72-1570
おもちゃの広場,ネット検索,6900000,松江市白潟本町43市民活動センター2階,0852-32-1195
たまゆつどいの広場,ネット検索,6990202,松江市玉湯町湯町玉造４（旧玉湯小学校グラウンド内）,0852-62-9546
やくも子育て支援センター,ネット検索,6902102,松江市八雲町東岩坂404-1たけのこ館内,0852-67-3251
宍道子育て支援センター,ネット検索,6990401,松江市宍道町宍道885-3宍道公民館内,0852-66-1428
東出雲子育て支援センター,ネット検索,6990101,松江市東出雲町揖屋1216-1ヨリアイーナ東出雲内,0852-52-9583
松江市子育て支援センター・あいあい,ネット検索,6900045,松江市乃白町32-2保健福祉総合センター1階,0852-60-8143
美保関子育て支援センター,ネット検索,6901313,松江市美保関町下宇部尾61-2美保関支所内,0852-55-5751
育児サロン（松江赤十字乳児院）,ネット検索,6900884,松江市南田町162松江赤十字乳児院内,0852-24-6418
鹿島子育て支援センター,ネット検索,6900804,松江市鹿島町北講武885-5鹿島福祉センター内,0852-82-9334
あさりこども園子育て支援センター「わくわく広場」,ネット検索,6950002,江津市浅利町336-4あさりこども園内,0855-55-1024
さくらえ保育園子育て支援センター「ほのぼのひろば」,ネット検索,6994225,江津市桜江町小田536-1,0855-92-1068
のぞみ保育園子育て支援センター「のぞみひろば」,ネット検索,6950021,江津市都野津町2325-3のぞみ保育園内,0855-52-7888
江津市子育てサポートセンター,ネット検索,6950011,江津市江津町1518-1,0855-52-0569
子育てふれあいルームぶどうの木,ネット検索,6995605,鹿足郡津和野町後田ロ66番地津和野幼花園,0856-72-0218
屋外型子育て拠点でこぼこ広場,ネット検索,6995202,鹿足郡津和野町左鐙1476番地山のこども園うしのしっぽ,0856-76-0180
日原子育て支援センター,ネット検索,6995221,鹿足郡津和野町日原22番地1日原保育園,0856-74-0742
津和野子育て支援センター,ネット検索,6995602,鹿足郡津和野町直地78番地2直地保育園,0856-72-0640
ひなしっこクラブ,ネット検索,6971322,浜田市日脚町771認定こども園日脚保育園内,0855-27-1230
やさか子育て支援センター,ネット検索,6971211,浜田市弥栄町長安本郷552-17,0855-48-2613
子育て支援センターあさひなないろクラブ,ネット検索,6970426,浜田市旭町丸原155-15認定こども園あさひ子ども園内,0855-45-8181
子育て支援センターおひさま,ネット検索,6993212,浜田市三隅町向野田605番8,0855-28-7907
浜田市子育て世代包括支援センター「すくすく」,ネット検索,6970016,浜田市野原町859-1,0855-22-1253
つぼみ（海士町子育て支援センター）,ネット検索,6840403,隠岐郡海士町大字海士3980-31けいしょう保育園,08514-2-0540
益田市立子育て支援センター,ネット検索,6980023,益田市常盤町11番1号,0856-22-2851
知夫村保健センター,ネット検索,6840100,隠岐郡知夫村1065番地知夫村保健センター,08514-8-2211
美郷町子育て支援センター,ネット検索,6994621,邑智郡美郷町粕渕37-4おおち保育園内,0855-74-2270
子育て支援センター「シオン」,ネット検索,6840302,隠岐郡西ノ島町別府149-9,08514-7-8566
瑞穂子育て支援センター,ネット検索,6960224,邑智郡邑南町上亀谷2183-11東光保育園,0855-83-0506
石見子育て支援センター,ネット検索,6960102,邑智郡邑南町中野2310東保育所,080-2910-1972
地域子育て支援センター「カンガルー」,ネット検索,6850017,隠岐郡隠岐の島町下西166-2隠岐共生学園第二保育所内,08512-2-0144
子育て支援センター「さんさん」,ネット検索,6850011,隠岐郡隠岐の島町栄町345隠岐の島町子育て交流センター内,08512-3-1200
三刀屋子育て支援センター,ネット検索,6902404,雲南市三刀屋町三刀屋1212-3三刀屋健康福祉センター内,0854-45-9500
加茂子育て支援センター,ネット検索,6991106,雲南市加茂町加茂中1001-4,0854-49-8355
大東子育て支援センター,ネット検索,6991223,雲南市大東町下阿用691-2あおぞら保育園内,0854-43-9500
掛合子育て支援センター,ネット検索,6902701,雲南市掛合町掛合2149-2掛合保育所内,0854-62-9900
木次子育て支援センター,ネット検索,6991311,雲南市木次町里方924-1,0854-42-2030
子育て支援センター,ネット検索,6903401,飯石郡飯南町野萱774-2来島保育所内,0854-76-2213
三原市地域子育て支援センター,ネット検索,7230051,広島県三原市宮浦二丁目1番1号（サン・シープラザ4階）,0848-67-6226
本郷子育て支援センター,ネット検索,7290417,広島県三原市本郷南6丁目25-1,0848-86-3135
だっこルームみよし,ネット検索,7280013,三次市十日市東四丁目1番30号サングリーン2階,0824-62-2188
ちゅうおう憩いの森「キッズルーム」＜外部リンク＞,ネット検索,7280012,三次市十日市中二丁目9番24号,0824-65-1113
三良坂地域子育て支援センター「みつばち」,ネット検索,7294304,三次市三良坂町三良坂5042-1三良坂支所　2階,0824-44-2136
北部あそびの広場,ネット検索,7280201,三次市布野町上布野1196番地1布野生涯学習センター2階　和室,0824-44-2136（みつばち）
地域子育て支援センター「すまいる」,ネット検索,7280025,三次市粟屋町949番地2,0824-62-2788
太才町　DASAIYA,ネット検索,7280021,三次市三次町1151番地,0824-63-1745
認定みゆきこども園「きりんの会」＜外部リンク＞,ネット検索,7280006,三次市畠敷町1868番地2,0824-62-1388
世羅町子育て支援センター,ネット検索,7221121,広島県世羅郡世羅町西上原123-1,0847-22-4513
千代田子育て支援センターすこやか,ネット検索,,,
大朝子育て支援センター,ネット検索,,,
芸北子育て支援センター,ネット検索,,,
豊平子育て支援センタールンルン,ネット検索,,,
ひろば利用について（2024/11/1更新）,ネット検索,,,
ひろば動画をアップしました（8/27最新）,ネット検索,,,
ひろば動画をアップしました（8/27最新）,ネット検索,,,
ひろひろ・ば『あかちゃんひろば』（令和7年度後期）,ネット検索,,,
子育て交流ひろば「くるる」,ネット検索,,,
子育て交流ひろば「くるる」,ネット検索,,,
子育て支援センターなかよしハウス,ネット検索,7314312,広島県安芸郡坂町平成ヶ浜一丁目1番1号,082-884-2833
小屋浦パオちゃんルーム,ネット検索,7314331,広島県安芸郡坂町小屋浦一丁目15番9号,082-886-8005
子育て支援センターどんぐりHOUSE,ネット検索,7390623,広島県大竹市小方1丁目11番1号（にじいろこども園内）,0827-59-2140
オンラインおしゃべり広場,ネット検索,,,
安芸太田子育て支援センター　加計のびのび,ネット検索,7313501,広島県山県郡安芸太田町大字加計3771-1,
安芸太田子育て支援センター　戸河内ルーム,ネット検索,7313664,広島県山県郡安芸太田町大字上殿1886-1,
安芸高田市子育て支援センター,ネット検索,7310501,広島県安芸高田市吉田町吉田791,0826-42-5633
子育て支援センター（向島）,ネット検索,7220073,広島県尾道市向島町5765-1,0848-44-6206
子育て支援センター（因島）,ネット検索,7222323,広島県尾道市因島土生町7-4-1（因島総合支所内）,0845-22-0185
子育て支援センター（御調）,ネット検索,7220342,広島県尾道市御調町大田33（みつぎいこい会館内）,0848-76-2235
尾道市子育て支援センター（尾道）,ネット検索,7220017,広島県尾道市門田町22-5（尾道市総合福祉センター内）,0848-22-8385
中区地域子育て支援センター,ネット検索,730-8565,広島市中区大手町四丁目1番1号,082-504-2174
佐伯区地域子育て支援センター,ネット検索,731-5195,広島市佐伯区海老園一丁目4番5号,082-921-5010
南区地域子育て支援センター,ネット検索,734-8523,広島市南区皆実町一丁目4番46号,082-250-4134
安佐北区地域子育て支援センター,ネット検索,731-0221,広島市安佐北区可部三丁目19番22号,082-819-0617
安佐南区地域子育て支援センター,ネット検索,731-0194,広島市安佐南区中須一丁目38番13号,082-877-2146
安芸区地域子育て支援センター,ネット検索,736-8555,広島市安芸区船越南三丁目2番16号,082-821-2821
東区地域子育て支援センター,ネット検索,732-8510,広島市東区東蟹屋町9番34号,082-261-0315
西区地域子育て支援センター,ネット検索,733-8535,広島市西区福島町二丁目24番1号,082-503-6288
庄原市子育て支援センター,ネット検索,7270012,広島県庄原市中本町一丁目10番1号,0824-73-1192
キッズランドMOMO（和光園地域子育て支援センター）,ネット検索,7260005,広島県府中市府中町497,0847-54-2733
国府地域子育て支援センター,ネット検索,7260013,広島県府中市高木町583番地1,0847-45-5558
府中市子育てステーションちゅちゅ,ネット検索,7260004,広島県府中市府川町186番地1 府中天満屋2階 i-coreFUCHU内,0847-46-2455
府中なかよし保育園地域子育て支援センター,ネット検索,7350000,府中町大須三丁目4-16-1,082-286-2334
府中ひかり保育園地域子育て支援センター,ネット検索,7350000,府中町本町二丁目16-19,082-282-9393
若竹こども園地域子育て支援センター,ネット検索,7350000,府中町鹿籠一丁目20-33,082-284-2363
大野子育て支援センター,ネット検索,,広島県廿日市市大野1丁目1番1号,0829-56-0356
廿日市市子育て支援センター,ネット検索,7380024,広島県廿日市市新宮一丁目13番1号（あいプラザ内）,0829-20-0025
Ai Kids Clubショージ寺家駅前店 子育て支援センター,ネット検索,7390041,東広島市西条町寺家4326番1(ショージ寺家駅前店2階駐車場敷地内）,082-421-1075
あおぞらひろば,ネット検索,7392103,東広島市高屋町宮領178番2（社会福祉法人平成会 宮領ワークセンター）,082-491-0031
すくすくサポート黒瀬,ネット検索,7392612,東広島市黒瀬町丸山1286番地1（黒瀬保健福祉センター内）,080-8984-9601
ひまわり認定こども園子育て支援センター【オープンくらす】,ネット検索,7392614,東広島市黒瀬松ヶ丘29-5,0823-82-6707
キッズプラザひがしひろしま【ゆめもくば】,ネット検索,7390043,東広島市西条西本町28-30ハローズ東広島店2階,082-431-3350
コミュニティカフェfun fan陽だまり,ネット検索,7390000,ゆめタウン東広島3階（広島県東広島市西条土与丸1丁目5-7）,082-430-7007
サムエル東広島こどもの園子育て支援センター【マザーグースのへや】（すくすくサポート高屋）,ネット検索,7392125,東広島市高屋町中島490-5,082-420-4300
サムエル西条こどもの園子育て支援センター【ワンダーラビット】,ネット検索,7390003,東広島市西条町土与丸1179番地1,082-424-3008
三永太陽保育園子育て支援センター【おひさま広場】,ネット検索,7390000,東広島市西条町三永10730-19,082-426-2177
入野光保育園子育て支援センター【ひかりランド】,ネット検索,7392208,東広島市河内町入野868-3,082-437-0516
八本松あおい保育園子育て支援センター【こんぺいとう】（すくすくサポート八本松）,ネット検索,7390142,東広島市八本松東6丁目6-28,082-428-0030
八本松みづき認定こども園子育て支援センター,ネット検索,7390146,東広島市八本松飯田6-6-33,082-437-5020
八本松太陽こども園子育て支援センター【ひなたぼっこ】（すくすくサポート八本松中央）,ネット検索,7390151,東広島市八本松町原10128-196,082-497-1026
安芸津子育て支援センター【じゃがキッズ】（すくすくサポート安芸津）,ネット検索,7392402,東広島市安芸津町三津5545-2（三津保育所内）,0846-46-1401
志和龍城認定こども園子育て支援センター【たつのこ】（すくすくサポート志和）,ネット検索,7390268,東広島市志和町志和西1456-3,080-6240-4406
愛育園子育て支援センター【ゆりかご】（すくすくサポート西条南）,ネット検索,7390024,東広島市西条町御薗宇6245-1,082-424-3932
東志和保育園子育て支援センター【りす組さん】,ネット検索,7390262,東広島市志和町志和東1210,082-433-5800
河内西子育て支援センター【すくすく】（すくすくサポート河内）,ネット検索,7392204,河内町河戸802-2（河内西保育所内）,082-430-3373
生協ひろしま子育て支援センター こどもコーぷらざ（すくすくサポート寺家）,ネット検索,7390041,東広島市西条町寺家6579-1（コープ東広島店敷地内）,090-8233-9487
福富子育て支援センター【ほほえみ】（すくすくサポート福富）,ネット検索,7392303,東広島市福富町久芳1545-1（福富支所福富保健福祉センター内）,082-435-2343
西条あおい保育園子育て支援センター【きずなの木】,ネット検索,7390041,東広島市西条町寺家5017-3,082-430-7373
西条みづき認定こども園子育て支援センター,ネット検索,7390041,東広島市西条町寺家7377,082-423-0332
認定こども園さざなみの森子育て支援センター【aо】,ネット検索,7390041,東広島市西条町寺家252,0824-22-3788
認定こども園みそのうこばとの森子育て支援センター,ネット検索,7390024,東広島市西条町御薗宇4481-1,082-431-5559
認定こども園みどりがおかようちえん 子育て支援センター【スイミー】,ネット検索,7392612,東広島市黒瀬町丸山1606-2,080-8353-4681
認定みょうとくこども園子育て支援センター,ネット検索,7390141,東広島市八本松町飯田572,082-430-4311
豊栄子育て支援センター【すまいる】（すくすくサポート豊栄）,ネット検索,7392317,東広島市豊栄町鍛冶屋577-1（認定こども園とよさか内）,082-401-2022
青雲保育園子育て支援センター【にこにこるーむ】（すくすくサポート西条北）,ネット検索,7390041,東広島市西条町寺家1427,082-424-8081
♡ 児童虐待対応やひとり親家庭の自立支援,ネット検索,,,
♡ファミリーサポートセンター,ネット検索,,,
つどいの広場（ひまわりプラザ）,ネット検索,7360065,広島県安芸郡海田町南昭和町14番17号,082-824-1225
つどいの広場（海田東児童館）,ネット検索,7360002,広島県安芸郡海田町国信一丁目9番26号,082-822-2111
つどいの広場（海田西児童館）,ネット検索,7360052,広島県安芸郡海田町南つくも町8番11号,082-822-2111
くまの・こども夢プラザ 子育て支援センター,ネット検索,7314214,広島県安芸郡熊野町中溝一丁目1番1号,082-820-5637
子育て支援センター おひさま,ネット検索,7201522,広島県神石郡神石高原町小畠2025,0847-89-3368
ふくやまローズひろば（みどり保育所）,ネット検索,7200804,広島県福山市緑町1-30,084-922-3900
ふくやまローズひろば（千田こども園）,ネット検索,7200017,広島県福山市千田町2丁目18-1,084-958-0223
ふくやまローズひろば（新涯保育所）,ネット検索,7210955,広島県福山市新涯町3丁目23-35,084-953-5051
ふくやまローズひろば（松永保育所）,ネット検索,7290104,広島県福山市松永町3丁目1-29,084-933-3340
ふくやまローズひろば（芦田こども園）,ネット検索,7201261,広島県福山市芦田町上有地83,084-958-0223
ふくやまローズひろば（駅家保育所）,ネット検索,7201133,広島県福山市駅家町近田192-5,084-976-0003
ふくやま子育て応援センター「キッズコム」,ネット検索,7200063,広島県福山市元町1-1 天満屋福山店8階,084-932-7284
ふれあい館オンラインひろば,ネット検索,,,
地域子育て支援センター（きらきらランド）,ネット検索,7250200,認定こども園ひかりえん内 多目的交流センター,0846-64-2598
おひさまランド,ネット検索,,美馬郡つるぎ町半田字田井487-2（半田保育所内）,0883-64-3607
チビッコわんぱくひろば,ネット検索,,美馬郡つるぎ町貞光字西山148番地1（貞光保育所内）,0883-62-2179
子育てひろば「あんりーる」,ネット検索,,美馬郡つるぎ町貞光字町86番地1　町並み屋内公園,0883-68-9888
三好市子育て支援センター,ネット検索,7780004,三好市池田町シンマチ1474番地　三好市子育て支援課2Ｆ（旧池田児童館）,0883-72-7648
三野地域子育て支援センター,ネット検索,7712304,三好市三野町芝生1293-8（三野認定こども園内）,0883-77-2041
三野地域子育て支援センター　王地分館＜休止中＞,ネット検索,7712302,三好市三野町加茂野宮1378（王地保育所内）,
政友保育所＜子育て支援拠点事業は休止中＞,ネット検索,7795344,三好市山城町政友42,0883-87-2239
東祖谷認定こども園,ネット検索,7780203,三好市東祖谷下瀬202-3,0883-88-2535
池田第一保育所,ネット検索,7780002,三好市池田町マチ2155-1,0883-72-0147
西井川保育所,ネット検索,7794806,三好市井川町西井川383,0883-76-3180
西祖谷認定こども園,ネット検索,7780101,三好市西祖谷山村一宇262-1,0883-87-2239
地域子育て支援センター「彩保育園」,ネット検索,7714505,勝浦郡上勝町大字正木字平間179,0885-45-0470
上板町子育て支援センター「さくらっこひろば」,ネット検索,7711330,板野郡上板町西分字日吉前20-1（さくら保育所内）,088-694-8180
わんぱく広場（佐那河内保育所内）,ネット検索,7714101,名東郡佐那河内村下字中河原13-1,088-679-2271
子育てサロン「こあら組」,ネット検索,7714307,勝浦郡勝浦町大字三渓字川原28番地1,0885-42-2246
みどり子育てステーション,ネット検索,7710203,板野郡北島町中村字中内29-1,088-698-2339
子育て支援室（めばえルーム）,ネット検索,7710203,板野郡北島町中村字前田道添11-6,090-3786-5545
地域子育て支援センター「かもめ元気クラブ」,ネット検索,7760020,吉野川市鴨島町西麻植字大東98-1（鴨島かもめこども園内）,0883-24-2856
地域子育て支援センター「山瀬わんぱく広場」,ネット検索,7793403,吉野川市山川町諏訪266-5（山瀬かもめこども園内）,0883-30-1212
子育て支援「なかよしくらぶ」,ネット検索,7760012,吉野川市鴨島町鴨島乙897-9（鴨島中央認定こども園内）,0883-24-2356
子育て支援センター「ちびっこプラザ」,ネット検索,7760010,吉野川市鴨島町鴨島252-1（日本フネン市民プラザ4階）,0883-22-2440
子育て支援室「ちびっこドーム」,ネット検索,7760000,吉野川市川島町桒村2421−1（ 川島こども園3階）,0883-25-6690
子育て支援室「ほたるルーム」,ネット検索,7793401,吉野川市山川町町94（高越こども園2階）,0883-42-5758
子育て支援室「もうもうあいランド」,ネット検索,7760001,吉野川市鴨島町牛島888-1（鴨島東こども園1階）,0883-24-8914
子育て支援館「ぶどうの木」,ネット検索,7760010,吉野川市鴨島町鴨島440-2（認定こども園めぐみ幼稚園めぐみ保育園北）,0883-38-9117
さかの認定こども園みんなのひろば,ネット検索,7730023,小松島市坂野町字根上り13-1,0885-37-1770
地域子育て支援センター“にこにこひろば”,ネット検索,7730015,小松島市中田町字新開2-8,0885-32-0266
子育て支援センターこやすっ子ひろば,ネット検索,7730012,小松島市田浦町字子安73番地,08835-32-3462
子育て支援センタースマイルピア,ネット検索,7730001,小松島市小松島町領田20番地,0885-33-4143
花しんばり子ども園,ネット検索,7730022,小松島市大林町字金岡70番地1,0885-37-1015
丈六在宅育児家庭相談室「あーち」,ネット検索,,徳島市丈六町休場6-6（丈六保育所2階）,088-645-1031
助任なかよし認定こども園,ネット検索,7700804,徳島市中吉野町1丁目65,088-626-1927
勝占在宅育児家庭相談室　「ほっぺ」,ネット検索,7708023,徳島市勝占町中須155番地の2,088-669-3002
北井上在宅育児家庭相談室「たんたん」,ネット検索,7793102,徳島市国府町西黒田字南傍示275番地の1（徳島市立北井上認定こども園2階）,088-642-6330
名東在宅育児家庭相談室「たっち」,ネット検索,7700047,徳島市名東町3丁目398番地の2,088-631-1120
国府在宅育児家庭相談室「あいあい」,ネット検索,7700000,徳島市国府町早渕池久保10（国府保育所併設）,088-642-3656
城西在宅育児家庭相談室「わおん」,ネット検索,7700012,徳島市北佐古二番町2-18（城西保育所2階）,088-634-3105
徳島市子育て安心ステーションすきっぷ,ネット検索,7700834,徳島市元町1-24　アミコビル5階,088-654-4460 託児予約専用 088-654-4459
徳島市親子ふれあいプラザ,ネット検索,7708053,徳島市沖浜東2丁目16番地 ふれあい健康館1階,088-657-0065
津田在宅育児家庭相談室「あっぷ」,ネット検索,7708002,徳島市津田町4丁目4-7　津田保育所2階,088-662-0246
みかも保育所内地域子育て支援センター,ネット検索,7794702,三好郡東みよし町西庄字戎堂7-1（みかも保育所内）,0883-82-2145
みのり乳児園内地域子育て支援センター,ネット検索,7794701,三好郡東みよし町加茂1454-1（みのり乳児園内）,0883-82-3150
松茂町地域子育て支援センター,ネット検索,7710220,板野郡松茂町広島字三番越2-4,088-699-3116
板野町地域子育て支援センター,ネット検索,,板野郡板野町大寺岡ノ前20,088-672-7171
海陽町地域子育て支援センター　あのね,ネット検索,7750302,海部郡海陽町奥浦字新町44 　海陽町役場　海部庁舎3階,0884-74-3112
あそびの広場,ネット検索,7750004,海部郡牟岐町大字川長字市宇谷2-1,0884-72-1750
さくら認定こども園　にじぐみ,ネット検索,,名西郡石井町高川原字高川原1254-1（さくら認定こども園内）,088-675-0280
特定非営利活動法人　こどもねっといしい 　子育てサロン,ネット検索,,名西郡石井町高川原字高川原130-1（石井中学校西隣）,088-635-5799
ぱんだぐみ（地域子育て支援センター）,ネット検索,,名西郡神山町阿野字広野154-1（広野保育所内）,088-678-0556
鮎喰川コモン,ネット検索,,名西郡神山町神領字大埜地374-1,050-2024-4990
ももほっぺ,ネット検索,7792103,海部郡美波町西の地字東地97-5,0884-78-1792
さくらんぼルーム,ネット検索,,美馬市脇町字拝原700-1（江原認定こども園内）,0883-53-3070
なかよし広場,ネット検索,,美馬市美馬町字中東原70-1（美馬認定こども園内）,0883-63-3030
にこにこ広場,ネット検索,7770005,美馬市穴吹町穴吹福戸原1（穴吹認定こども園内）,0883-53-1300
美馬市子育て支援センター みらい,ネット検索,,美馬市脇町猪尻西分116-1（美馬市地域交流センターミライズ2階）,0883-53-1108
あいずみ保育園地域子育て支援センター,ネット検索,,板野郡藍住町東中富字龍池傍示44-1,088-692-0234
藍住ひまわり保育園地域子育て支援センター,ネット検索,,板野郡藍住町勝瑞字西勝地285,088-641-3045
藍住南ひまわり保育園,ネット検索,,板野郡藍住町奥野字乾104,088-676-2210
